town,area,price
Washington Heights,136,644000
Hell's Kitchen,63,1183000
Upper West Side,152,3228000
Tribeca,486,17424000
Carnegie Hill,201,4810000
SoHo,166,4809000
West Village,260,8102000
Morningside Heights,137,1468000
East Harlem,37,353000
Little Italy,279,5816000
Carnegie Hill,197,3987000
Battery Park City,250,5483000
Gramercy Park,229,3676000
Flatiron,251,6172000
Tribeca,287,10144000
Financial District,163,2827000
Chinatown,90,1116000
Nolita,265,6505000
Stuyvesant Town,131,2366000
Chelsea,289,6853000
Two Bridges,134,1589000
Little Italy,111,2971000
Financial District,163,3356000
Hudson Yards,239,8697000
Inwood,144,917000
Hamilton Heights,132,1119000
Chelsea,205,5281000
Midtown East,199,4994000
Hudson Yards,315,7056000
Upper East Side,588,16150000
East Harlem,89,876000
Hudson Yards,305,14829000
Two Bridges,80,794000
Chelsea,211,5546000
Stuyvesant Town,163,2487000
Financial District,262,4908000
West Village,46,1178000
Morningside Heights,140,1321000
Nolita,191,5484000
Battery Park City,173,5013000
Midtown East,219,5146000
Tribeca,158,5108000
Carnegie Hill,282,7641000
Chelsea,223,4785000
Murray Hill,78,1263000
Hell's Kitchen,144,2416000
Hell's Kitchen,213,4277000
Greenwich Village,344,11398000
Hamilton Heights,69,586000
Carnegie Hill,210,5629000
SoHo,359,11949000
West Village,286,8775000
Two Bridges,114,1453000
Lower East Side,190,1475000
Midtown West,239,4214000
Upper East Side,324,10359000
Gramercy Park,182,5176000
Chinatown,128,1217000
Hamilton Heights,97,927000
Greenwich Village,262,6929000
Inwood,114,889000
Hell's Kitchen,230,6064000
Upper West Side,250,4715000
Gramercy Park,150,2467000
Lower East Side,183,2560000
Nolita,285,6290000
West Village,272,6564000
Hamilton Heights,83,601000
Flatiron,102,2951000
Washington Heights,71,427000
Two Bridges,114,1287000
Morningside Heights,137,1149000
Two Bridges,127,1074000
Lower East Side,150,1168000
Gramercy Park,167,3144000
Upper East Side,282,10171000
Hell's Kitchen,127,1950000
Upper East Side,537,14291000
Kips Bay,38,671000
Greenwich Village,307,7322000
East Harlem,140,1339000
Two Bridges,159,2300000
Stuyvesant Town,72,995000
Stuyvesant Town,131,1718000
Chinatown,140,2054000
Harlem,183,2229000
Harlem,141,1813000
Stuyvesant Town,49,806000
Carnegie Hill,56,1471000
Chelsea,240,6712000
Gramercy Park,271,6925000
Hell's Kitchen,64,1567000
Inwood,120,744000
Upper West Side,384,8761000
Two Bridges,74,960000
Carnegie Hill,218,4407000
Murray Hill,279,6454000
Harlem,136,1694000
Greenwich Village,83,1776000
SoHo,335,11815000
Financial District,227,5835000
Harlem,167,1882000
Inwood,123,698000
Greenwich Village,42,1046000
West Village,365,12707000
West Village,340,9576000
Tribeca,232,8445000
Tribeca,266,12923000
East Harlem,129,961000
Chelsea,276,9685000
Inwood,101,775000
East Harlem,101,1089000
Gramercy Park,311,9061000
Flatiron,138,3327000
Lower East Side,69,1015000
Chinatown,129,1179000
Kips Bay,73,1441000
East Harlem,205,2070000
Little Italy,110,2804000
Midtown East,240,6062000
Harlem,279,3256000
Flatiron,315,6700000
West Village,270,8444000
Midtown West,251,5294000
Midtown West,285,6677000
Greenwich Village,265,7177000
Nolita,236,5175000
Lower East Side,157,1912000
Battery Park City,217,5688000
Upper East Side,438,12181000
Battery Park City,301,5579000
Inwood,67,590000
Carnegie Hill,132,3685000
West Village,202,6358000
Midtown West,297,2863000
Morningside Heights,135,1287000
Hell's Kitchen,178,4371000
Kips Bay,120,1986000
Chinatown,51,651000
Two Bridges,128,1757000
Two Bridges,96,969000
Chinatown,165,1647000
Hamilton Heights,127,963000
Flatiron,211,4551000
Nolita,226,6442000
Little Italy,168,5581000
Greenwich Village,164,2590000
Inwood,126,886000
West Village,321,13402000
Hell's Kitchen,136,3388000
Washington Heights,117,916000
West Village,338,14309000
Washington Heights,120,893000
Midtown West,135,2545000
Hamilton Heights,160,1218000
Inwood,63,412000
East Harlem,171,1268000
Inwood,90,447000
Upper East Side,344,11493000
Carnegie Hill,321,10690000
Morningside Heights,170,2539000
Little Italy,262,7621000
Battery Park City,143,3386000
Midtown East,245,5786000
West Village,165,5242000
Stuyvesant Town,129,1663000
Chelsea,99,2088000
Hell's Kitchen,185,3319000
Harlem,206,1731000
Gramercy Park,67,1721000
Upper East Side,492,6354000
Midtown East,81,2149000
Two Bridges,80,1052000
Chinatown,49,680000
Greenwich Village,324,8650000
Chinatown,145,1238000
Hamilton Heights,151,1560000
Inwood,37,265000
Battery Park City,65,1805000
Chinatown,142,1560000
Battery Park City,164,4085000
Nolita,74,1667000
Upper West Side,309,6279000
Upper West Side,540,8480000
Washington Heights,91,705000
Midtown West,368,6059000
Two Bridges,159,1759000
Little Italy,123,2037000
Lower East Side,106,2068000
Gramercy Park,132,3645000
Inwood,91,548000
Hamilton Heights,150,1308000
Chinatown,154,2281000
Chelsea,116,2943000
Gramercy Park,218,4650000
Battery Park City,221,5425000
Inwood,101,870000
Midtown East,208,5219000
SoHo,254,8451000
Hudson Yards,304,11527000
Battery Park City,72,2087000
Nolita,203,4484000
Nolita,157,4529000
Morningside Heights,62,751000
Little Italy,228,5913000
Upper East Side,354,12230000
Hamilton Heights,153,1028000
Carnegie Hill,420,11367000
East Harlem,84,724000
Two Bridges,115,1656000
Upper West Side,251,5695000
Battery Park City,160,3650000
Midtown East,206,5180000
Chinatown,98,1412000
Inwood,152,993000
Hudson Yards,232,5544000
Upper East Side,665,15771000
Little Italy,245,7393000
Battery Park City,190,4640000
SoHo,229,5569000
Midtown East,136,2288000
Flatiron,152,2543000
Two Bridges,84,853000
Upper West Side,390,9668000
Midtown East,226,5725000
Financial District,153,2411000
East Harlem,181,2129000
Hudson Yards,316,6336000
Hell's Kitchen,136,2752000
Midtown West,298,5934000
Financial District,310,7219000
Upper East Side,343,10482000
Lower East Side,218,2948000
Stuyvesant Town,172,2350000
Financial District,189,5758000
Greenwich Village,224,8315000
Hell's Kitchen,115,2372000
West Village,46,1293000
Upper West Side,407,9796000
Tribeca,388,15313000
West Village,257,7314000
Midtown West,211,4779000
Morningside Heights,44,565000
Tribeca,452,11820000
Inwood,130,677000
East Harlem,163,1684000
West Village,46,1309000
East Harlem,134,1182000
Battery Park City,253,4962000
Carnegie Hill,194,4729000
Midtown West,257,4939000
Inwood,174,1509000
Midtown East,224,4217000
Little Italy,128,3165000
Nolita,42,984000
Two Bridges,173,2029000
East Harlem,147,1364000
East Harlem,119,1146000
Chinatown,173,1657000
Midtown West,112,2381000
Greenwich Village,42,997000
Gramercy Park,78,1862000
Tribeca,519,17629000
Chelsea,155,3835000
Upper West Side,363,9050000
Midtown East,279,7441000
Kips Bay,239,3652000
Washington Heights,81,474000
Stuyvesant Town,131,1877000
Chinatown,124,1092000
Harlem,173,2044000
Lower East Side,180,3113000
Battery Park City,249,4765000
East Harlem,33,296000
Lower East Side,133,2270000
Kips Bay,37,611000
Flatiron,268,8100000
Little Italy,165,2678000
Chinatown,103,1124000
Two Bridges,129,2100000
Chelsea,325,5889000
Kips Bay,274,5407000
Morningside Heights,143,1264000
Murray Hill,241,4871000
SoHo,391,8300000
Nolita,72,1694000
Greenwich Village,162,4009000
Financial District,183,4195000
Nolita,144,2916000
Stuyvesant Town,56,829000
East Harlem,107,968000
Tribeca,210,6574000
Tribeca,161,6979000
Lower East Side,129,2394000
Battery Park City,260,5338000
Washington Heights,130,1055000
Midtown East,138,4353000
Kips Bay,222,3842000
Midtown West,37,859000
Greenwich Village,186,5038000
Stuyvesant Town,175,2801000
Upper East Side,56,1643000
Morningside Heights,186,2514000
Battery Park City,215,3935000
Hell's Kitchen,187,3844000
Little Italy,191,4916000
Harlem,123,1818000
Financial District,242,6014000
Upper East Side,378,11332000
Harlem,203,2185000
Murray Hill,197,4815000
Harlem,148,1950000
East Harlem,184,2176000
Battery Park City,248,5646000
Carnegie Hill,139,3255000
Financial District,66,1711000
Washington Heights,112,801000
Washington Heights,131,1024000
West Village,256,6168000
Two Bridges,65,892000
Gramercy Park,155,4093000
Midtown West,195,4105000
Carnegie Hill,285,6970000
Midtown West,212,5357000
Financial District,210,4467000
East Harlem,123,1403000
Midtown West,372,8692000
SoHo,234,7160000
Midtown East,264,7781000
Battery Park City,226,6534000
Stuyvesant Town,150,1542000
Stuyvesant Town,108,1572000
Battery Park City,172,4434000
SoHo,95,3619000
Gramercy Park,169,3751000
Midtown West,303,6720000
Tribeca,350,11913000
Upper West Side,192,5715000
Gramercy Park,169,2969000
Chelsea,165,3263000
Hell's Kitchen,124,3052000
Financial District,289,6461000
Hudson Yards,241,6948000
Hamilton Heights,122,888000
Financial District,181,4667000
West Village,272,6069000
Washington Heights,108,757000
Kips Bay,153,2677000
Two Bridges,99,1514000
West Village,46,994000
Murray Hill,132,3020000
Two Bridges,80,1002000
Little Italy,202,3776000
Upper West Side,419,8666000
Financial District,301,5708000
Gramercy Park,344,6007000
Tribeca,391,13619000
Hell's Kitchen,101,1675000
Greenwich Village,297,7223000
Upper East Side,192,5550000
Washington Heights,62,371000
Midtown West,157,3344000
Upper West Side,275,5203000
Tribeca,231,5785000
Kips Bay,171,3339000
Gramercy Park,372,7162000
Carnegie Hill,95,2876000
Upper West Side,557,10994000
Hamilton Heights,97,660000
Hudson Yards,300,9781000
Financial District,124,3613000
Hamilton Heights,58,432000
Upper West Side,222,5091000
Chelsea,203,4991000
Hell's Kitchen,141,3323000
Inwood,140,1152000
Chelsea,216,4215000
Inwood,156,1074000
Washington Heights,132,1142000
Nolita,160,2934000
Hudson Yards,344,9976000
West Village,164,5202000
Stuyvesant Town,132,2091000
Lower East Side,64,1007000
West Village,418,9158000
Nolita,179,5818000
Midtown East,244,6292000
Upper East Side,145,4887000
Midtown East,359,6779000
Battery Park City,187,2324000
Midtown West,183,3723000
Morningside Heights,89,1106000
Battery Park City,159,4480000
Tribeca,324,8159000
Midtown West,168,4046000
Kips Bay,140,1590000
Chelsea,118,2391000
Gramercy Park,46,1072000
Nolita,146,5559000
SoHo,287,8649000
Gramercy Park,245,4596000
Gramercy Park,181,2966000
Little Italy,179,5484000
Nolita,217,4113000
Upper East Side,313,7593000
Hell's Kitchen,118,3004000
West Village,123,3617000
Upper West Side,408,11783000
Midtown West,240,5910000
Two Bridges,117,981000
Battery Park City,114,3103000
Midtown West,202,3877000
Kips Bay,153,2216000
Kips Bay,172,2613000
Chinatown,181,2566000
Chinatown,149,1596000
Financial District,141,2619000
Battery Park City,181,3644000
Stuyvesant Town,157,2678000
Greenwich Village,197,5011000
Flatiron,223,6261000
Chinatown,33,432000
Chinatown,209,2597000
Nolita,281,5947000
Hell's Kitchen,155,2814000
Washington Heights,189,1146000
Stuyvesant Town,159,1777000
Chinatown,67,853000
Inwood,76,536000
Battery Park City,253,6527000
East Harlem,147,1447000
Upper West Side,342,7925000
Morningside Heights,125,1898000
Inwood,186,800000
Carnegie Hill,263,8203000
Battery Park City,226,5281000
Stuyvesant Town,157,2045000
Kips Bay,194,4239000
Financial District,104,1967000
Hudson Yards,412,18344000
Morningside Heights,137,1386000
Lower East Side,144,2646000
Nolita,76,2210000
Stuyvesant Town,60,1108000
Greenwich Village,307,8141000
Little Italy,174,3307000
Morningside Heights,65,536000
Midtown West,241,4984000
Stuyvesant Town,124,1706000
Chelsea,193,3844000
Tribeca,301,12104000
Two Bridges,77,1288000
Nolita,175,4473000
Kips Bay,174,3600000
Tribeca,449,19660000
West Village,280,8302000
Morningside Heights,147,1959000
Battery Park City,182,4689000
Lower East Side,154,1614000
Battery Park City,163,3427000
East Harlem,199,1484000
Lower East Side,203,3346000
Financial District,259,5032000
Harlem,126,1646000
Washington Heights,92,566000
Midtown East,296,5367000
East Harlem,75,880000
Battery Park City,52,991000
Battery Park City,193,3780000
Washington Heights,173,1496000
Chinatown,189,2771000
Midtown West,257,6038000
Two Bridges,108,1424000
Tribeca,258,10137000
Harlem,179,2284000
Hell's Kitchen,125,2901000
Midtown East,293,8349000
Battery Park City,186,4778000
Murray Hill,185,4159000
West Village,253,6380000
Little Italy,57,1268000
Two Bridges,186,2827000
Inwood,53,352000
Stuyvesant Town,124,1298000
Two Bridges,203,2400000
Upper West Side,493,9974000
Hamilton Heights,152,1518000
Upper West Side,141,2557000
Hamilton Heights,93,696000
Midtown West,131,3177000
East Harlem,140,1530000
Gramercy Park,105,2398000
Carnegie Hill,386,9443000
Tribeca,288,8080000
Little Italy,190,3975000
Flatiron,186,4805000
Flatiron,305,7689000
Upper West Side,382,7441000
Financial District,91,2024000
Chelsea,211,3347000
Kips Bay,188,2600000
Murray Hill,37,660000
Tribeca,174,6501000
Stuyvesant Town,224,3421000
Morningside Heights,97,573000
Morningside Heights,121,1348000
SoHo,278,8924000
Stuyvesant Town,137,2437000
West Village,304,7438000
Hamilton Heights,121,1076000
Stuyvesant Town,127,1698000
Battery Park City,220,4630000
Upper East Side,406,14259000
Lower East Side,181,3129000
Lower East Side,134,2152000
Little Italy,238,5748000
SoHo,285,9151000
Hell's Kitchen,232,4331000
Nolita,223,5302000
Inwood,118,836000
Hudson Yards,144,4485000
Nolita,135,3190000
Hell's Kitchen,192,3682000
Midtown East,226,4973000
Two Bridges,172,1353000
Chelsea,242,5804000
Stuyvesant Town,52,981000
Financial District,146,3155000
Lower East Side,152,3522000
Battery Park City,124,2878000
Midtown East,313,8145000
Two Bridges,128,2099000
Tribeca,285,4734000
Flatiron,245,5831000
Midtown East,272,7582000
Murray Hill,179,3519000
Kips Bay,208,4404000
Midtown West,150,2997000
Kips Bay,190,3814000
Greenwich Village,204,4962000
Tribeca,331,10887000
Stuyvesant Town,105,1272000
Nolita,142,4268000
Midtown East,326,8217000
East Harlem,155,1724000
Greenwich Village,98,2820000
Washington Heights,71,537000
Morningside Heights,83,1002000
Gramercy Park,155,3245000
SoHo,465,17238000
Hamilton Heights,140,1425000
Financial District,159,3300000
Carnegie Hill,243,7273000
Hell's Kitchen,125,2970000
Stuyvesant Town,42,477000
Financial District,116,2037000
Little Italy,99,2008000
Hamilton Heights,145,1369000
Stuyvesant Town,232,3693000
Murray Hill,175,3155000
Flatiron,224,6652000
Upper West Side,298,5965000
Flatiron,225,4419000
Tribeca,557,20120000
Morningside Heights,125,1884000
Hell's Kitchen,107,3241000
Inwood,28,220000
West Village,253,9756000
Little Italy,82,2495000
Hamilton Heights,180,956000
Flatiron,232,6178000
Battery Park City,130,2448000
Stuyvesant Town,154,2403000
SoHo,272,7932000
Morningside Heights,106,1201000
Inwood,137,873000
Financial District,205,3311000
Hudson Yards,511,9131000
Tribeca,274,8165000
Midtown East,203,4087000
Inwood,168,961000
Upper East Side,432,9397000
Stuyvesant Town,212,3796000
Upper East Side,687,22042000
Flatiron,134,3507000
Nolita,133,3148000
Washington Heights,97,589000
Little Italy,195,5275000
Tribeca,193,5601000
Kips Bay,255,5965000
Inwood,78,604000
Morningside Heights,118,1634000
Lower East Side,237,4526000
Midtown West,110,3102000
Tribeca,309,12573000
Hudson Yards,351,11017000
Battery Park City,47,846000
Midtown West,266,5800000
West Village,373,10616000
Chinatown,140,1543000
West Village,309,8127000
Inwood,95,558000
Stuyvesant Town,127,1483000
Upper West Side,426,11958000
SoHo,260,9696000
Murray Hill,279,5170000
Upper East Side,481,14358000
Washington Heights,83,679000
Chelsea,145,3884000
Gramercy Park,226,3794000
Midtown West,180,3630000
Chelsea,116,3208000
Midtown East,279,9629000
Midtown East,189,6210000
Harlem,201,2440000
Financial District,234,4059000
Gramercy Park,114,2556000
Murray Hill,180,2507000
Murray Hill,38,935000
SoHo,342,6602000
SoHo,352,7353000
West Village,164,4831000
Carnegie Hill,348,8206000
SoHo,370,10440000
Chelsea,325,8301000
Greenwich Village,66,1759000
Nolita,183,4088000
Chelsea,242,7033000
Battery Park City,206,5658000
Carnegie Hill,210,6206000
Midtown West,218,5242000
Inwood,67,312000
East Harlem,172,1777000
Chinatown,133,1520000
Hell's Kitchen,83,1486000
Hudson Yards,153,6991000
Battery Park City,81,1698000
Hudson Yards,259,5311000
Greenwich Village,312,7538000
Nolita,135,3133000
Lower East Side,206,4055000
Hudson Yards,324,7728000
Chinatown,174,1972000
Hamilton Heights,33,279000
Hudson Yards,341,11479000
Carnegie Hill,354,9296000
Upper East Side,528,15612000
Inwood,111,728000
Hamilton Heights,143,1194000
Flatiron,180,4038000
Little Italy,237,4220000
Inwood,28,150000
Midtown West,37,1066000
Hell's Kitchen,52,1057000
Financial District,213,4936000
Midtown East,355,7399000
Inwood,54,337000
Two Bridges,155,1617000
Financial District,42,856000
Financial District,165,4173000
Lower East Side,229,4143000
Tribeca,322,13170000
Midtown East,350,7298000
Stuyvesant Town,137,2558000
Flatiron,111,1677000
Carnegie Hill,148,4203000
Financial District,129,2767000
Flatiron,191,3748000
Harlem,55,473000
Nolita,258,6214000
Nolita,124,1651000
Midtown West,188,4493000
Murray Hill,205,3186000
Carnegie Hill,399,4659000
West Village,115,3269000
Murray Hill,234,5782000
Two Bridges,88,1330000
Murray Hill,193,5169000
Hell's Kitchen,168,3235000
Gramercy Park,245,6957000
Washington Heights,45,230000
Gramercy Park,263,7271000
East Harlem,160,1939000
Financial District,108,2155000
Hudson Yards,194,9092000
Chelsea,81,1600000
Two Bridges,131,1513000
Washington Heights,111,820000
Chinatown,176,1496000
Chelsea,162,4549000
Kips Bay,143,2965000
Washington Heights,42,277000
Midtown East,218,3832000
Inwood,74,390000
Tribeca,305,13091000
Two Bridges,150,2038000
Flatiron,193,5843000
Gramercy Park,203,4237000
Upper West Side,209,3978000
Chelsea,265,5730000
Tribeca,370,14762000
West Village,217,6069000
Gramercy Park,181,2461000
Two Bridges,170,1775000
East Harlem,147,1252000
Stuyvesant Town,177,1971000
Financial District,179,3666000
Tribeca,294,9258000
Harlem,155,1518000
Hamilton Heights,102,603000
SoHo,372,11748000
Midtown East,250,7000000
Chelsea,182,5242000
Greenwich Village,110,3182000
Little Italy,162,4167000
Morningside Heights,95,1226000
Midtown East,135,1942000
Lower East Side,217,3219000
Chinatown,55,596000
Two Bridges,232,2484000
Midtown West,39,950000
Little Italy,214,4806000
East Harlem,168,1415000
Flatiron,81,2320000
Little Italy,243,5127000
Nolita,205,6637000
Harlem,37,441000
Financial District,60,1172000
Washington Heights,180,1302000
East Harlem,139,1019000
Murray Hill,209,5139000
Harlem,120,1742000
Carnegie Hill,430,11086000
Hamilton Heights,149,1182000
Gramercy Park,257,5455000
Inwood,135,960000
Kips Bay,126,2100000
Financial District,255,3255000
Midtown West,37,902000
Upper West Side,557,12465000
Washington Heights,171,1235000
East Harlem,113,904000
Flatiron,245,5049000
Inwood,128,828000
Midtown West,196,4601000
Hudson Yards,161,5244000
Washington Heights,99,601000
Harlem,189,1975000
Upper West Side,501,12957000
Kips Bay,89,1978000
Little Italy,90,2267000
Midtown West,143,3695000
Financial District,265,6457000
Murray Hill,220,3180000
Stuyvesant Town,112,1573000
Midtown West,194,3141000
Murray Hill,161,3859000
Hamilton Heights,99,832000
Little Italy,242,4290000
East Harlem,33,304000
Financial District,252,6536000
Upper West Side,349,8166000
Battery Park City,125,2907000
Battery Park City,110,2287000
Hell's Kitchen,140,2475000
Financial District,188,4775000
Financial District,100,2201000
SoHo,213,7785000
Gramercy Park,179,4188000
Chinatown,145,1680000
Murray Hill,134,1896000
Hudson Yards,152,6049000
Washington Heights,159,941000
East Harlem,124,1383000
Midtown East,156,4753000
Washington Heights,114,714000
Tribeca,363,12529000
Upper West Side,232,6260000
Kips Bay,181,2863000
Harlem,54,503000
Midtown West,265,6429000
Carnegie Hill,204,6363000
Chinatown,78,994000
Battery Park City,199,3299000
Battery Park City,128,2815000
Nolita,239,8312000
Hamilton Heights,134,960000
Hudson Yards,326,11455000
Washington Heights,102,739000
Hamilton Heights,123,974000
Upper West Side,244,6614000
Carnegie Hill,193,4606000
Tribeca,258,8385000
Financial District,126,2631000
Hamilton Heights,78,515000
West Village,251,7092000
Midtown West,48,1155000
SoHo,459,20305000
Upper East Side,186,5760000
Midtown East,129,2600000
Hudson Yards,306,12152000
Tribeca,365,11099000
Chelsea,186,4232000
Midtown West,167,4398000
Upper East Side,217,5666000
Inwood,94,765000
Tribeca,446,14294000
East Harlem,92,589000
East Harlem,153,1319000
Lower East Side,174,2281000
Upper East Side,309,9589000
Washington Heights,91,744000
Two Bridges,67,1096000
Kips Bay,200,3634000
East Harlem,139,1168000
Chinatown,154,1700000
Upper East Side,527,11911000
Nolita,232,6034000
Little Italy,217,4795000
Harlem,121,1579000
East Harlem,125,1247000
Nolita,199,6619000
Gramercy Park,311,6876000
Two Bridges,91,1173000
Upper East Side,329,5146000
Murray Hill,86,1447000
SoHo,195,6928000
Carnegie Hill,231,6181000
Stuyvesant Town,96,1682000
Washington Heights,33,256000
Carnegie Hill,361,5737000
Midtown East,236,6309000
SoHo,224,6724000
Two Bridges,189,2895000
Morningside Heights,155,1553000
East Harlem,122,1179000
Greenwich Village,186,6319000
SoHo,78,1887000
Upper West Side,375,10131000
Hudson Yards,227,5915000
Flatiron,204,5435000
Midtown West,335,7745000
Hell's Kitchen,61,1478000
West Village,150,3420000
Inwood,93,593000
Carnegie Hill,142,4035000
Midtown East,418,10686000
Upper West Side,389,11817000
Hamilton Heights,186,850000
Hell's Kitchen,172,3578000
Washington Heights,54,517000
Greenwich Village,42,1161000
Chelsea,139,2815000
Midtown East,196,5995000
Harlem,274,2657000
Midtown West,237,4224000
Hell's Kitchen,145,2874000
Chelsea,144,3141000
Tribeca,388,10378000
Morningside Heights,129,1374000
SoHo,319,14421000
Greenwich Village,182,4306000
Kips Bay,140,2138000
Kips Bay,206,3402000
Hamilton Heights,37,268000
Little Italy,148,5522000
Two Bridges,33,572000
Harlem,37,277000
Harlem,80,954000
Kips Bay,120,2028000
Chinatown,150,1967000
Tribeca,209,7605000
Chelsea,210,4596000
Greenwich Village,212,5197000
Murray Hill,65,1426000
Upper West Side,264,6857000
Hudson Yards,146,4385000
Flatiron,335,7100000
Hell's Kitchen,37,817000
Hudson Yards,411,12410000
Lower East Side,77,1669000
Kips Bay,125,1590000
Inwood,142,944000
Kips Bay,138,2939000
Lower East Side,169,2823000
West Village,232,7588000
Hell's Kitchen,264,3641000
Two Bridges,185,2119000
Carnegie Hill,213,5922000
Hudson Yards,157,5001000
SoHo,222,7971000
Tribeca,238,8608000
Financial District,287,4704000
Murray Hill,112,2583000
Greenwich Village,289,8108000
Gramercy Park,213,5903000
Chelsea,225,5441000
Upper West Side,223,3871000
Morningside Heights,146,1830000
Hamilton Heights,47,386000
Little Italy,169,6398000
Washington Heights,184,1445000
Midtown West,209,5359000
Greenwich Village,260,8544000
Carnegie Hill,167,4042000
Two Bridges,232,2819000
Chelsea,213,5576000
Inwood,68,523000
Chinatown,159,1977000
Midtown East,223,5725000
Murray Hill,169,2508000
Battery Park City,46,1160000
Tribeca,298,9013000
Kips Bay,60,1289000
Battery Park City,180,3893000
Carnegie Hill,362,8306000
Hell's Kitchen,120,2464000
Midtown West,352,6638000
Midtown East,121,2523000
Nolita,137,4654000
Upper West Side,241,7043000
Carnegie Hill,253,5572000
Morningside Heights,209,2766000
SoHo,218,7120000
Murray Hill,172,4301000
East Harlem,90,820000
Chinatown,211,2034000
Chelsea,225,3407000
Harlem,128,1677000
Nolita,176,4427000
Stuyvesant Town,198,2832000
Lower East Side,98,1177000
Kips Bay,240,4725000
Tribeca,143,3981000
Kips Bay,120,2540000
Little Italy,149,2634000
Lower East Side,49,663000
Upper West Side,333,7162000
Upper West Side,203,3972000
Carnegie Hill,222,6371000
Upper West Side,285,6007000
East Harlem,178,1116000
Tribeca,414,11514000
Hamilton Heights,134,1020000
Greenwich Village,84,2129000
Morningside Heights,185,1427000
Midtown East,277,6745000
Upper West Side,354,5596000
Tribeca,303,10028000
Chelsea,262,6720000
Little Italy,279,7269000
Chelsea,154,3754000
Upper East Side,46,1387000
Midtown East,289,7857000
East Harlem,134,1293000
Financial District,189,4121000
Kips Bay,133,2405000
Upper East Side,639,20392000
Washington Heights,88,712000
Harlem,223,2593000
Chelsea,159,3697000
Lower East Side,69,1065000
Stuyvesant Town,42,375000
Kips Bay,242,4900000
SoHo,220,5798000
Financial District,180,2608000
Harlem,87,992000
Upper West Side,389,5486000
Upper East Side,119,3630000
Hamilton Heights,33,258000
Midtown East,86,1996000
Nolita,251,9322000
Murray Hill,162,3447000
Stuyvesant Town,117,1853000
Murray Hill,58,1119000
Stuyvesant Town,123,1813000
Carnegie Hill,343,8038000
Stuyvesant Town,232,3512000
Washington Heights,41,296000
Harlem,179,2177000
Tribeca,372,11494000
Nolita,133,3243000
Morningside Heights,42,576000
Lower East Side,203,3803000
Tribeca,84,3487000
Upper East Side,92,2257000
Midtown West,224,6521000
Tribeca,425,16861000
Nolita,124,3379000
Upper East Side,146,3907000
Murray Hill,273,3938000
Two Bridges,182,2935000
Little Italy,187,3609000
Inwood,99,534000
Lower East Side,148,3744000
Hamilton Heights,186,1304000
Hamilton Heights,95,799000
Nolita,171,5011000
Kips Bay,152,2129000
Tribeca,319,7318000
East Harlem,110,1103000
Kips Bay,198,4255000
Hell's Kitchen,106,2404000
Midtown East,299,6847000
Kips Bay,132,2877000
Stuyvesant Town,109,2159000
Harlem,236,2501000
Upper East Side,495,13645000
Hudson Yards,220,8630000
Carnegie Hill,340,10700000
Harlem,120,1490000
Gramercy Park,275,7525000
Lower East Side,39,579000
Two Bridges,224,3880000
Tribeca,211,6766000
West Village,112,3116000
Morningside Heights,134,1667000
Two Bridges,103,961000
East Harlem,212,1211000
East Harlem,125,1307000
East Harlem,192,1291000
Flatiron,293,6554000
Hamilton Heights,108,641000
Chinatown,38,392000
Midtown West,116,2009000
Carnegie Hill,266,8713000
Flatiron,192,5448000
Hell's Kitchen,164,3569000
Lower East Side,137,2517000
Inwood,136,960000
Morningside Heights,125,1626000
Washington Heights,163,1416000
Morningside Heights,120,1477000
Murray Hill,133,2803000
Two Bridges,90,657000
Hamilton Heights,95,736000
Little Italy,279,6518000
Murray Hill,182,3966000
Financial District,73,1442000
Greenwich Village,372,10354000
Stuyvesant Town,104,1012000
Nolita,118,2317000
Chinatown,104,826000
Greenwich Village,275,8743000
Carnegie Hill,81,2211000
East Harlem,158,1150000
Chinatown,152,2242000
Hell's Kitchen,122,3376000
Financial District,53,977000
Nolita,154,2391000
Stuyvesant Town,66,865000
Battery Park City,245,6487000
Flatiron,122,3360000
Upper East Side,310,5562000
Greenwich Village,261,8277000
Hamilton Heights,125,883000
West Village,202,5755000
Two Bridges,117,1595000
Washington Heights,141,1266000
Little Italy,155,3785000
Gramercy Park,223,4623000
East Harlem,183,1698000
Midtown East,312,3774000
Carnegie Hill,253,8447000
Lower East Side,38,711000
Stuyvesant Town,79,1010000
Two Bridges,188,2001000
Gramercy Park,162,4283000
SoHo,304,9675000
Midtown West,197,4572000
Chinatown,99,1425000
Little Italy,214,3905000
Carnegie Hill,287,6590000
Morningside Heights,153,1894000
Midtown West,295,5681000
Hell's Kitchen,195,3792000
Carnegie Hill,465,10626000
Flatiron,256,7174000
Hamilton Heights,154,1202000
Hell's Kitchen,279,5325000
Upper East Side,689,19056000
Nolita,234,6710000
Midtown East,268,9914000
Harlem,152,1305000
Little Italy,87,1923000
Chelsea,42,726000
Carnegie Hill,114,2891000
East Harlem,107,1134000
Midtown East,235,7580000
Little Italy,86,2201000
Kips Bay,111,1755000
Battery Park City,184,3819000
Two Bridges,198,2899000
Midtown West,230,6848000
Hell's Kitchen,188,3507000
Midtown West,291,8379000
Washington Heights,156,938000
Battery Park City,106,2745000
Flatiron,308,9039000
Battery Park City,213,3519000
Flatiron,251,5919000
Upper East Side,442,7270000
Chinatown,135,1916000
Upper West Side,223,6447000
Hamilton Heights,151,1068000
Murray Hill,167,3659000
Kips Bay,203,3494000
Lower East Side,202,3197000
